Movie_ID,Title,Genre,Director,Year,Rating,Budget_USD,Revenue_USD,Runtime_Min
1,Movie 1,Romance,Rajamouli,2007,5.3,76000000,69120606,174
2,Movie 2,Fantasy,Villenueve,2017,4.2,52000000,64433792,107
3,Movie 3,Crime,Rajamouli,2025,5.1,284000000,377059519,133
4,Movie 4,Crime,Christopher Nolan,1990,8.2,86000000,220240385,169
5,Movie 5,Action,James Cameron,2003,9.3,177000000,260620854,93
6,Movie 6,Romance,Sanjay Leela Bhansali,2012,7.3,27000000,69276992,173
7,Movie 7,Romance,Farhan Akhtar,2014,4.4,155000000,429943841,186
8,Movie 8,Comedy,Anurag Kashyap,2002,7.9,28000000,49728376,164
9,Movie 9,Action,Villenueve,2004,8.8,199000000,550823870,115
10,Movie 10,Comedy,James Cameron,2013,6.0,141000000,589984528,169
11,Movie 11,Romance,Anurag Kashyap,2000,6.9,130000000,327156544,100
12,Movie 12,Action,Farhan Akhtar,2025,5.2,171000000,585605162,187
13,Movie 13,Sci-Fi,Zoya Akhtar,1992,8.4,210000000,259668506,114
14,Movie 14,Crime,Farhan Akhtar,2010,5.2,260000000,1005366956,130
15,Movie 15,Horror,James Cameron,2006,4.8,292000000,421478088,148
16,Movie 16,Crime,Greta Gerwig,2015,6.0,75000000,187527012,145
17,Movie 17,Sci-Fi,Ayan Mukerji,1997,4.8,86000000,260651260,181
18,Movie 18,Crime,Villenueve,2014,6.1,244000000,389271172,147
19,Movie 19,Fantasy,Ayan Mukerji,1990,7.7,63000000,267258354,167
20,Movie 20,Action,S.S. Rajamouli,2011,4.6,227000000,485587069,100
21,Movie 21,Action,Rian Johnson,2001,6.8,59000000,110866322,160
22,Movie 22,Fantasy,Anurag Kashyap,2002,4.8,87000000,353942016,149
23,Movie 23,Fantasy,Farhan Akhtar,1990,7.3,255000000,317499825,82
24,Movie 24,Comedy,Farhan Akhtar,2009,5.3,128000000,527156210,152
25,Movie 25,Romance,Bong Joon Ho,2021,8.5,277000000,409375514,178
26,Movie 26,Horror,Rian Johnson,2000,5.5,221000000,901651551,107
27,Movie 27,Animation,Bong Joon Ho,2009,6.2,196000000,798412570,136
28,Movie 28,Horror,Villenueve,2005,5.2,178000000,487822017,82
29,Movie 29,Animation,Anurag Kashyap,2004,4.0,35000000,20339243,109
30,Movie 30,Sci-Fi,Ayan Mukerji,2011,4.4,126000000,368816560,115
31,Movie 31,Animation,Rian Johnson,1998,8.0,297000000,808181520,153
32,Movie 32,Horror,S.S. Rajamouli,2016,5.0,54000000,114101702,164
33,Movie 33,Thriller,Greta Gerwig,2019,8.8,32000000,112900187,166
